epoch_idx,k,n_collected,decode_success,c,delta,trial,seed
0,294,233,0,0.1,0.01,11,random
0,294,234,0,0.1,0.01,11,random
0,294,235,0,0.1,0.01,11,random
0,294,236,0,0.1,0.01,11,random
0,294,237,0,0.1,0.01,11,random
0,294,238,0,0.1,0.01,11,random
0,294,239,0,0.1,0.01,11,random
0,294,240,0,0.1,0.01,11,random
0,294,241,0,0.1,0.01,11,random
0,294,242,0,0.1,0.01,11,random
0,294,243,0,0.1,0.01,11,random
0,294,244,0,0.1,0.01,11,random
0,294,245,0,0.1,0.01,11,random
0,294,246,0,0.1,0.01,11,random
0,294,247,0,0.1,0.01,11,random
0,294,248,0,0.1,0.01,11,random
0,294,249,0,0.1,0.01,11,random
0,294,250,0,0.1,0.01,11,random
0,294,251,0,0.1,0.01,11,random
0,294,252,0,0.1,0.01,11,random
0,294,253,0,0.1,0.01,11,random
0,294,254,0,0.1,0.01,11,random
0,294,255,0,0.1,0.01,11,random
0,294,256,0,0.1,0.01,11,random
0,294,257,0,0.1,0.01,11,random
0,294,258,0,0.1,0.01,11,random
0,294,259,0,0.1,0.01,11,random
0,294,260,0,0.1,0.01,11,random
0,294,261,0,0.1,0.01,11,random
0,294,262,0,0.1,0.01,11,random
0,294,263,0,0.1,0.01,11,random
0,294,264,0,0.1,0.01,11,random
0,294,265,0,0.1,0.01,11,random
0,294,266,0,0.1,0.01,11,random
0,294,267,0,0.1,0.01,11,random
0,294,268,0,0.1,0.01,11,random
0,294,269,0,0.1,0.01,11,random
0,294,270,0,0.1,0.01,11,random
0,294,271,0,0.1,0.01,11,random
0,294,272,0,0.1,0.01,11,random
0,294,273,0,0.1,0.01,11,random
0,294,274,0,0.1,0.01,11,random
0,294,275,0,0.1,0.01,11,random
0,294,276,0,0.1,0.01,11,random
0,294,277,0,0.1,0.01,11,random
0,294,278,0,0.1,0.01,11,random
0,294,279,0,0.1,0.01,11,random
0,294,280,0,0.1,0.01,11,random
0,294,281,0,0.1,0.01,11,random
0,294,282,0,0.1,0.01,11,random
0,294,283,0,0.1,0.01,11,random
0,294,284,0,0.1,0.01,11,random
0,294,285,0,0.1,0.01,11,random
0,294,286,0,0.1,0.01,11,random
0,294,287,0,0.1,0.01,11,random
0,294,288,0,0.1,0.01,11,random
0,294,289,0,0.1,0.01,11,random
0,294,290,0,0.1,0.01,11,random
0,294,291,0,0.1,0.01,11,random
0,294,292,0,0.1,0.01,11,random
0,294,293,0,0.1,0.01,11,random
0,294,294,0,0.1,0.01,11,random
0,294,295,0,0.1,0.01,11,random
0,294,296,0,0.1,0.01,11,random
0,294,297,0,0.1,0.01,11,random
0,294,298,0,0.1,0.01,11,random
0,294,299,0,0.1,0.01,11,random
0,294,300,0,0.1,0.01,11,random
0,294,301,0,0.1,0.01,11,random
0,294,302,0,0.1,0.01,11,random
0,294,303,0,0.1,0.01,11,random
0,294,304,0,0.1,0.01,11,random
0,294,305,0,0.1,0.01,11,random
0,294,306,0,0.1,0.01,11,random
0,294,307,0,0.1,0.01,11,random
0,294,308,0,0.1,0.01,11,random
0,294,309,0,0.1,0.01,11,random
0,294,310,0,0.1,0.01,11,random
0,294,311,0,0.1,0.01,11,random
0,294,312,0,0.1,0.01,11,random
0,294,313,0,0.1,0.01,11,random
0,294,314,0,0.1,0.01,11,random
0,294,315,0,0.1,0.01,11,random
0,294,316,0,0.1,0.01,11,random
0,294,317,0,0.1,0.01,11,random
0,294,318,0,0.1,0.01,11,random
0,294,319,0,0.1,0.01,11,random
0,294,320,0,0.1,0.01,11,random
0,294,321,0,0.1,0.01,11,random
0,294,322,0,0.1,0.01,11,random
0,294,323,0,0.1,0.01,11,random
0,294,324,0,0.1,0.01,11,random
0,294,325,0,0.1,0.01,11,random
0,294,326,0,0.1,0.01,11,random
0,294,327,0,0.1,0.01,11,random
0,294,328,0,0.1,0.01,11,random
0,294,329,0,0.1,0.01,11,random
0,294,330,0,0.1,0.01,11,random
0,294,331,0,0.1,0.01,11,random
0,294,332,0,0.1,0.01,11,random
0,294,333,0,0.1,0.01,11,random
0,294,334,0,0.1,0.01,11,random
0,294,335,0,0.1,0.01,11,random
0,294,336,0,0.1,0.01,11,random
0,294,337,0,0.1,0.01,11,random
0,294,338,0,0.1,0.01,11,random
0,294,339,0,0.1,0.01,11,random
0,294,340,0,0.1,0.01,11,random
0,294,341,0,0.1,0.01,11,random
0,294,342,0,0.1,0.01,11,random
0,294,343,0,0.1,0.01,11,random
0,294,344,0,0.1,0.01,11,random
0,294,345,0,0.1,0.01,11,random
0,294,346,0,0.1,0.01,11,random
0,294,347,0,0.1,0.01,11,random
0,294,348,0,0.1,0.01,11,random
0,294,349,0,0.1,0.01,11,random
0,294,350,0,0.1,0.01,11,random
0,294,351,0,0.1,0.01,11,random
0,294,352,0,0.1,0.01,11,random
0,294,353,0,0.1,0.01,11,random
0,294,354,0,0.1,0.01,11,random
0,294,355,0,0.1,0.01,11,random
0,294,356,0,0.1,0.01,11,random
