epoch_idx,k,n_collected,decode_success,c,delta,trial,seed
0,9854,93,0,0.1,0.05,49,random
0,9854,94,0,0.1,0.05,49,random
0,9854,95,0,0.1,0.05,49,random
0,9854,96,0,0.1,0.05,49,random
0,9854,97,0,0.1,0.05,49,random
0,9854,98,0,0.1,0.05,49,random
0,9854,99,0,0.1,0.05,49,random
0,9854,100,0,0.1,0.05,49,random
0,9854,101,0,0.1,0.05,49,random
0,9854,102,0,0.1,0.05,49,random
0,9854,103,0,0.1,0.05,49,random
0,9854,104,0,0.1,0.05,49,random
0,9854,105,0,0.1,0.05,49,random
0,9854,106,0,0.1,0.05,49,random
0,9854,107,0,0.1,0.05,49,random
0,9854,108,0,0.1,0.05,49,random
0,9854,109,0,0.1,0.05,49,random
0,9854,110,0,0.1,0.05,49,random
0,9854,111,0,0.1,0.05,49,random
0,9854,112,0,0.1,0.05,49,random
0,9854,113,0,0.1,0.05,49,random
0,9854,114,0,0.1,0.05,49,random
0,9854,115,0,0.1,0.05,49,random
0,9854,116,0,0.1,0.05,49,random
0,9854,117,0,0.1,0.05,49,random
0,9854,118,0,0.1,0.05,49,random
0,9854,119,0,0.1,0.05,49,random
0,9854,120,0,0.1,0.05,49,random
0,9854,121,0,0.1,0.05,49,random
0,9854,122,0,0.1,0.05,49,random
0,9854,123,0,0.1,0.05,49,random
0,9854,124,0,0.1,0.05,49,random
0,9854,125,0,0.1,0.05,49,random
0,9854,126,0,0.1,0.05,49,random
0,9854,127,0,0.1,0.05,49,random
0,9854,128,0,0.1,0.05,49,random
0,9854,129,0,0.1,0.05,49,random
0,9854,130,0,0.1,0.05,49,random
0,9854,131,0,0.1,0.05,49,random
0,9854,132,0,0.1,0.05,49,random
0,9854,133,0,0.1,0.05,49,random
0,9854,134,0,0.1,0.05,49,random
0,9854,135,0,0.1,0.05,49,random
0,9854,136,0,0.1,0.05,49,random
0,9854,137,0,0.1,0.05,49,random
0,9854,138,0,0.1,0.05,49,random
0,9854,139,0,0.1,0.05,49,random
0,9854,140,0,0.1,0.05,49,random
0,9854,141,0,0.1,0.05,49,random
0,9854,142,0,0.1,0.05,49,random
0,9854,143,0,0.1,0.05,49,random
0,9854,144,0,0.1,0.05,49,random
0,9854,145,0,0.1,0.05,49,random
0,9854,146,0,0.1,0.05,49,random
0,9854,147,0,0.1,0.05,49,random
0,9854,148,0,0.1,0.05,49,random
0,9854,149,0,0.1,0.05,49,random
0,9854,150,0,0.1,0.05,49,random
0,9854,151,0,0.1,0.05,49,random
0,9854,152,0,0.1,0.05,49,random
0,9854,153,0,0.1,0.05,49,random
0,9854,154,0,0.1,0.05,49,random
0,9854,155,0,0.1,0.05,49,random
0,9854,156,0,0.1,0.05,49,random
0,9854,157,0,0.1,0.05,49,random
0,9854,158,0,0.1,0.05,49,random
0,9854,159,0,0.1,0.05,49,random
0,9854,160,0,0.1,0.05,49,random
0,9854,161,0,0.1,0.05,49,random
0,9854,162,0,0.1,0.05,49,random
0,9854,163,0,0.1,0.05,49,random
0,9854,164,0,0.1,0.05,49,random
0,9854,165,0,0.1,0.05,49,random
0,9854,166,0,0.1,0.05,49,random
0,9854,167,0,0.1,0.05,49,random
0,9854,168,0,0.1,0.05,49,random
0,9854,169,0,0.1,0.05,49,random
0,9854,170,0,0.1,0.05,49,random
0,9854,171,0,0.1,0.05,49,random
0,9854,172,0,0.1,0.05,49,random
0,9854,173,0,0.1,0.05,49,random
0,9854,174,0,0.1,0.05,49,random
0,9854,175,0,0.1,0.05,49,random
0,9854,176,0,0.1,0.05,49,random
0,9854,177,0,0.1,0.05,49,random
0,9854,178,0,0.1,0.05,49,random
0,9854,179,0,0.1,0.05,49,random
0,9854,180,0,0.1,0.05,49,random
0,9854,181,0,0.1,0.05,49,random
0,9854,182,0,0.1,0.05,49,random
0,9854,183,0,0.1,0.05,49,random
0,9854,184,0,0.1,0.05,49,random
0,9854,185,0,0.1,0.05,49,random
0,9854,186,0,0.1,0.05,49,random
0,9854,187,0,0.1,0.05,49,random
0,9854,188,0,0.1,0.05,49,random
0,9854,189,0,0.1,0.05,49,random
0,9854,190,0,0.1,0.05,49,random
0,9854,191,0,0.1,0.05,49,random
0,9854,192,0,0.1,0.05,49,random
0,9854,193,0,0.1,0.05,49,random
0,9854,194,0,0.1,0.05,49,random
0,9854,195,0,0.1,0.05,49,random
0,9854,196,0,0.1,0.05,49,random
0,9854,197,0,0.1,0.05,49,random
0,9854,198,0,0.1,0.05,49,random
0,9854,199,0,0.1,0.05,49,random
0,9854,200,0,0.1,0.05,49,random
0,9854,201,0,0.1,0.05,49,random
0,9854,202,0,0.1,0.05,49,random
0,9854,203,0,0.1,0.05,49,random
0,9854,204,0,0.1,0.05,49,random
0,9854,205,0,0.1,0.05,49,random
0,9854,206,0,0.1,0.05,49,random
0,9854,207,0,0.1,0.05,49,random
0,9854,208,0,0.1,0.05,49,random
0,9854,209,0,0.1,0.05,49,random
0,9854,210,0,0.1,0.05,49,random
0,9854,211,0,0.1,0.05,49,random
0,9854,212,0,0.1,0.05,49,random
0,9854,213,0,0.1,0.05,49,random
0,9854,214,0,0.1,0.05,49,random
0,9854,215,0,0.1,0.05,49,random
0,9854,216,0,0.1,0.05,49,random
0,9854,217,0,0.1,0.05,49,random
0,9854,218,0,0.1,0.05,49,random
0,9854,219,0,0.1,0.05,49,random
0,9854,220,0,0.1,0.05,49,random
0,9854,221,0,0.1,0.05,49,random
0,9854,222,0,0.1,0.05,49,random
0,9854,223,0,0.1,0.05,49,random
0,9854,224,0,0.1,0.05,49,random
0,9854,225,0,0.1,0.05,49,random
0,9854,226,0,0.1,0.05,49,random
0,9854,227,0,0.1,0.05,49,random
0,9854,228,0,0.1,0.05,49,random
0,9854,229,0,0.1,0.05,49,random
0,9854,230,0,0.1,0.05,49,random
0,9854,231,0,0.1,0.05,49,random
0,9854,232,0,0.1,0.05,49,random
0,9854,233,0,0.1,0.05,49,random
0,9854,234,0,0.1,0.05,49,random
0,9854,235,0,0.1,0.05,49,random
0,9854,236,0,0.1,0.05,49,random
0,9854,237,0,0.1,0.05,49,random
0,9854,238,0,0.1,0.05,49,random
0,9854,239,0,0.1,0.05,49,random
0,9854,240,0,0.1,0.05,49,random
0,9854,241,0,0.1,0.05,49,random
0,9854,242,0,0.1,0.05,49,random
0,9854,243,0,0.1,0.05,49,random
0,9854,244,0,0.1,0.05,49,random
0,9854,245,0,0.1,0.05,49,random
0,9854,246,0,0.1,0.05,49,random
0,9854,247,0,0.1,0.05,49,random
0,9854,248,0,0.1,0.05,49,random
0,9854,249,0,0.1,0.05,49,random
0,9854,250,0,0.1,0.05,49,random
0,9854,251,0,0.1,0.05,49,random
0,9854,252,0,0.1,0.05,49,random
0,9854,253,0,0.1,0.05,49,random
0,9854,254,0,0.1,0.05,49,random
0,9854,255,0,0.1,0.05,49,random
0,9854,256,0,0.1,0.05,49,random
0,9854,257,0,0.1,0.05,49,random
0,9854,258,0,0.1,0.05,49,random
0,9854,259,0,0.1,0.05,49,random
0,9854,260,0,0.1,0.05,49,random
0,9854,261,0,0.1,0.05,49,random
0,9854,262,0,0.1,0.05,49,random
0,9854,263,0,0.1,0.05,49,random
0,9854,264,0,0.1,0.05,49,random
0,9854,265,0,0.1,0.05,49,random
0,9854,266,0,0.1,0.05,49,random
0,9854,267,0,0.1,0.05,49,random
0,9854,268,0,0.1,0.05,49,random
0,9854,269,0,0.1,0.05,49,random
0,9854,270,0,0.1,0.05,49,random
0,9854,271,0,0.1,0.05,49,random
0,9854,272,0,0.1,0.05,49,random
0,9854,273,0,0.1,0.05,49,random
0,9854,274,0,0.1,0.05,49,random
0,9854,275,0,0.1,0.05,49,random
0,9854,276,0,0.1,0.05,49,random
0,9854,277,0,0.1,0.05,49,random
0,9854,278,0,0.1,0.05,49,random
0,9854,279,0,0.1,0.05,49,random
0,9854,280,0,0.1,0.05,49,random
0,9854,281,0,0.1,0.05,49,random
0,9854,282,0,0.1,0.05,49,random
0,9854,283,0,0.1,0.05,49,random
0,9854,284,0,0.1,0.05,49,random
0,9854,285,0,0.1,0.05,49,random
0,9854,286,0,0.1,0.05,49,random
0,9854,287,0,0.1,0.05,49,random
0,9854,288,0,0.1,0.05,49,random
0,9854,289,0,0.1,0.05,49,random
0,9854,290,0,0.1,0.05,49,random
0,9854,291,0,0.1,0.05,49,random
0,9854,292,0,0.1,0.05,49,random
0,9854,293,0,0.1,0.05,49,random
0,9854,294,0,0.1,0.05,49,random
0,9854,295,0,0.1,0.05,49,random
0,9854,296,0,0.1,0.05,49,random
0,9854,297,0,0.1,0.05,49,random
0,9854,298,0,0.1,0.05,49,random
0,9854,299,0,0.1,0.05,49,random
0,9854,300,0,0.1,0.05,49,random
0,9854,301,0,0.1,0.05,49,random
0,9854,302,0,0.1,0.05,49,random
0,9854,303,0,0.1,0.05,49,random
0,9854,304,0,0.1,0.05,49,random
0,9854,305,0,0.1,0.05,49,random
0,9854,306,0,0.1,0.05,49,random
0,9854,307,0,0.1,0.05,49,random
0,9854,308,0,0.1,0.05,49,random
0,9854,309,0,0.1,0.05,49,random
0,9854,310,0,0.1,0.05,49,random
0,9854,311,0,0.1,0.05,49,random
0,9854,312,0,0.1,0.05,49,random
0,9854,313,0,0.1,0.05,49,random
0,9854,314,0,0.1,0.05,49,random
0,9854,315,0,0.1,0.05,49,random
0,9854,316,0,0.1,0.05,49,random
0,9854,317,0,0.1,0.05,49,random
0,9854,318,0,0.1,0.05,49,random
0,9854,319,0,0.1,0.05,49,random
0,9854,320,0,0.1,0.05,49,random
0,9854,321,0,0.1,0.05,49,random
0,9854,322,0,0.1,0.05,49,random
0,9854,323,0,0.1,0.05,49,random
0,9854,324,0,0.1,0.05,49,random
0,9854,325,0,0.1,0.05,49,random
0,9854,326,0,0.1,0.05,49,random
0,9854,327,0,0.1,0.05,49,random
0,9854,328,0,0.1,0.05,49,random
0,9854,329,0,0.1,0.05,49,random
0,9854,330,0,0.1,0.05,49,random
0,9854,331,0,0.1,0.05,49,random
0,9854,332,0,0.1,0.05,49,random
0,9854,333,0,0.1,0.05,49,random
0,9854,334,0,0.1,0.05,49,random
0,9854,335,0,0.1,0.05,49,random
0,9854,336,0,0.1,0.05,49,random
0,9854,337,0,0.1,0.05,49,random
0,9854,338,0,0.1,0.05,49,random
0,9854,339,0,0.1,0.05,49,random
0,9854,340,0,0.1,0.05,49,random
0,9854,341,0,0.1,0.05,49,random
0,9854,342,0,0.1,0.05,49,random
0,9854,343,0,0.1,0.05,49,random
0,9854,344,0,0.1,0.05,49,random
0,9854,345,0,0.1,0.05,49,random
0,9854,346,0,0.1,0.05,49,random
0,9854,347,0,0.1,0.05,49,random
0,9854,348,0,0.1,0.05,49,random
0,9854,349,0,0.1,0.05,49,random
0,9854,350,0,0.1,0.05,49,random
0,9854,351,0,0.1,0.05,49,random
0,9854,352,0,0.1,0.05,49,random
0,9854,353,0,0.1,0.05,49,random
0,9854,354,0,0.1,0.05,49,random
0,9854,355,0,0.1,0.05,49,random
0,9854,356,0,0.1,0.05,49,random
0,9854,357,0,0.1,0.05,49,random
0,9854,358,0,0.1,0.05,49,random
0,9854,359,0,0.1,0.05,49,random
0,9854,360,0,0.1,0.05,49,random
0,9854,361,0,0.1,0.05,49,random
0,9854,362,0,0.1,0.05,49,random
0,9854,363,0,0.1,0.05,49,random
0,9854,364,0,0.1,0.05,49,random
0,9854,365,0,0.1,0.05,49,random
0,9854,366,0,0.1,0.05,49,random
0,9854,367,0,0.1,0.05,49,random
0,9854,368,0,0.1,0.05,49,random
0,9854,369,0,0.1,0.05,49,random
0,9854,370,0,0.1,0.05,49,random
0,9854,371,0,0.1,0.05,49,random
0,9854,372,0,0.1,0.05,49,random
0,9854,373,0,0.1,0.05,49,random
0,9854,374,0,0.1,0.05,49,random
0,9854,375,0,0.1,0.05,49,random
0,9854,376,0,0.1,0.05,49,random
0,9854,377,0,0.1,0.05,49,random
0,9854,378,0,0.1,0.05,49,random
0,9854,379,0,0.1,0.05,49,random
0,9854,380,0,0.1,0.05,49,random
0,9854,381,0,0.1,0.05,49,random
0,9854,382,0,0.1,0.05,49,random
0,9854,383,0,0.1,0.05,49,random
0,9854,384,0,0.1,0.05,49,random
0,9854,385,0,0.1,0.05,49,random
0,9854,386,0,0.1,0.05,49,random
0,9854,387,0,0.1,0.05,49,random
0,9854,388,0,0.1,0.05,49,random
0,9854,389,0,0.1,0.05,49,random
0,9854,390,0,0.1,0.05,49,random
0,9854,391,0,0.1,0.05,49,random
0,9854,392,0,0.1,0.05,49,random
0,9854,393,0,0.1,0.05,49,random
0,9854,394,0,0.1,0.05,49,random
0,9854,395,0,0.1,0.05,49,random
0,9854,396,0,0.1,0.05,49,random
0,9854,397,0,0.1,0.05,49,random
0,9854,398,0,0.1,0.05,49,random
0,9854,399,0,0.1,0.05,49,random
0,9854,400,0,0.1,0.05,49,random
0,9854,401,0,0.1,0.05,49,random
0,9854,402,0,0.1,0.05,49,random
0,9854,403,0,0.1,0.05,49,random
0,9854,404,0,0.1,0.05,49,random
0,9854,405,0,0.1,0.05,49,random
0,9854,406,0,0.1,0.05,49,random
0,9854,407,0,0.1,0.05,49,random
0,9854,408,0,0.1,0.05,49,random
0,9854,409,0,0.1,0.05,49,random
0,9854,410,0,0.1,0.05,49,random
0,9854,411,0,0.1,0.05,49,random
0,9854,412,0,0.1,0.05,49,random
